Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/335-Meadowwoods-Dr-Morganton-GA-30560/96826585_zpid/,419293,Single Family,290000,12/30/2025,1636,sqft,177.26,2.41,acres,2,3,335 Meadowwoods Dr,Morganton,30560,GA,USA
https://www.zillow.com/homedetails/338-Buckskin-Dr-Cherry-Log-GA-30522/228804667_zpid/,419329,Single Family,535000,12/29/2025,2405,sqft,222.45,2.06,acres,3,3,338 Buckskin Dr,Cherry Log,30522,GA,USA
https://www.zillow.com/homedetails/380-Branch-Creek-Rd-Blue-Ridge-GA-30513/244540033_zpid/,420156,Single Family,510000,12/29/2025,1053,sqft,484.33,0.51,acres,2,2,380 Branch Creek Rd,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/0-River-Ridge-Dr-Blue-Ridge-GA-30513/458095697_zpid/,420187,Lot/Land,78500,12/22/2025,,,,1.34,acres,,,0 River Ridge Dr,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/1421-Kelly-Ridge-Dr-Blue-Ridge-GA-30513/228807300_zpid/,417998,Single Family,530000,12/19/2025,1440,sqft,368.06,1.59,acres,3,2,1421 Kelly Ridge Dr,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/749-Hillcrest-Dr-Mc-Caysville-GA-30555/228812397_zpid/,417792,Single Family,299000,12/19/2025,1528,sqft,195.68,0.74,acres,3,2,749 Hillcrest Dr,Mc Caysville,30555,GA,USA
https://www.zillow.com/homedetails/1421-Kelly-Ridge-Dr-28-Blue-Ridge-GA-30513/455934587_zpid/,10583645,Single Family,530000,12/19/2025,1440,sqft,368.06,1.59,acres,3,2,1421 Kelly Ridge Dr #28,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/0-Minnehaha-Trl-9-15AC-Blue-Ridge-GA-30513/2094991427_zpid/,420079,Lot/Land,83200,12/19/2025,,,,1.3,acres,,,0 Minnehaha Trl #9.15AC,Blue Ridge,30513,GA,USA
https://www.zillow.com/homedetails/4165-Mobile-Rd-Mc-Caysville-GA-30555/455471011_zpid/,417605,Single Family,365000,12/18/2025,1716,sqft,212.7,3,acres,3,2,4165 Mobile Rd,Mc Caysville,30555,GA,USA
https://www.zillow.com/homedetails/4165-Mobile-Rd-4-Mc-Caysville-GA-30555/455893834_zpid/,10582748,Single Family,365000,12/18/2025,1716,sqft,212.7,3,acres,3,2,4165 Mobile Rd #4,Mc Caysville,30555,GA,USA
